StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed_consent,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Dear participant,

You are about to participate in the followup survey regarding word similarity.
In this survey you will be asked to rate the similarity of two presented words, by giving them a score between 1 and 10. 1 meaning dissimilar and 10 meaning similar. Please, keep in mind; things that are related are not necessarily similar. 
There is no right or wrong answer to these questions. It is perfectly reasonable to use your intuition or gut feeling as a native English speaker, especially when you are asked to rate word pairs that you think are not similar at all.

By completing this survey, you are giving informed consent to provide data for research and education purposes. You are free to withdaw from participation. Your data will remain anonymous.

By clicking on the next button you agree with the information above.
If you have any questions you can contact: a.s.y.kern@students.uu.nl","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - competence vs. ability","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - area vs. zone","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - bad vs. great","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - neck vs. spine","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - bone vs. knee","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - pretend vs. imagine","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - arm vs. neck","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - apple vs. juice","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - bird vs. hawk","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - jar vs. bottle","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - elastic vs. flexible","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - lens vs. camera","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - wisdom vs. intelligence","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - assignment vs. task","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - bread vs. flour","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - man vs. child","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - bed vs. blanket","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - difficult vs. simple","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - way vs. manner","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - guy vs. stud","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - toe vs. finger","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - necessary vs. important","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - take vs. carry","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - alley vs. bowl","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - arm vs. knee","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - tongue vs. throat","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - forgive vs. forget","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - capability vs. competence","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - certain vs. sure","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - know vs. comprehend","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - belief vs. opinion","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - great vs. awful","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - pretend vs. seem","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - unnecessary vs. necessary","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - water vs. salt","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - noise vs. rattle","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - conclude vs. decide","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - bone vs. neck","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - bird vs. hen","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - ball vs. glove","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - assume vs. pretend","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - molecule vs. atom","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - arm vs. vein","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - bird vs. turkey","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - happy vs. angry","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - crowd vs. bunch","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - explain vs. prove","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - water vs. ice","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - spoon vs. cup","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - reality vs. fantasy","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - goal vs. quest","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - imitate vs. portray","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - enjoy vs. entertain","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - meal vs. dinner","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - anatomy vs. biology","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - disappear vs. shrink","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - apple vs. lemon","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - bone vs. teeth","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - metal vs. aluminum","Please rate the similarity between the following words. 
1 = dissimilar & 10 = similar - assume vs. predict"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}"
2020-03-04 21:19:55,2020-03-04 21:31:52,IP Address,*******,100,716,True,2020-03-04 21:31:52,R_3M6haCPtClVGeVW,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,1 (Dissimilar),7,1 (Dissimilar),3,3,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),3,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),9,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),7,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),3,7,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),5,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar)
2020-03-04 21:36:23,2020-03-04 21:40:43,IP Address,*******,100,259,True,2020-03-04 21:40:43,R_PGVAKl6HKeSeEHT,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,7,8,1 (Dissimilar),6,4,4,2,3,6,8,6,5,7,8,3,4,3,2,7,2,6,6,5,1 (Dissimilar),3,3,4,7,8,6,4,1 (Dissimilar),6,3,2,2,3,3,4,1 (Dissimilar),4,2,1 (Dissimilar),3,1 (Dissimilar),3,2,7,2,2,5,3,5,4,3,2,4,2,6,2
2020-03-04 22:06:42,2020-03-04 22:20:55,IP Address,*******,100,852,True,2020-03-04 22:20:56,R_3JlXWFnhdq6LVKK,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,7,3,2,4,6,3,1 (Dissimilar),3,6,1 (Dissimilar),2,2,1 (Dissimilar),3,4,2,4,5,5,2,1 (Dissimilar),6,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),3,2,5,6,3,6,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),4,5,4,4,1 (Dissimilar),2,3,1 (Dissimilar),4,1 (Dissimilar),5,5,7,2,1 (Dissimilar),2,3,6,4,4,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar)
2020-03-04 22:24:27,2020-03-04 22:31:50,IP Address,*******,100,443,True,2020-03-04 22:31:51,R_1o5TKdJSN8ZRxgR,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,7,10 (similar),2,8,5,4,2,4,5,8,9,8,4,8,6,4,6,3,7,5,5,4,6,1 (Dissimilar),3,4,6,8,9,4,5,2,4,5,2,8,7,4,7,1 (Dissimilar),4,8,3,7,4,5,4,7,6,5,5,7,5,8,6,5,6,7,7,4
2020-03-04 22:27:27,2020-03-04 22:32:19,IP Address,*******,100,291,True,2020-03-04 22:32:19,R_0xk8LLmVr8efPwZ,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,9,9,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),9,3,5,2,5,10 (similar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),5,1 (Dissimilar),5,3,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),9,10 (similar),7,7,1 (Dissimilar),3,1 (Dissimilar),1 (Dissimilar),7,5,1 (Dissimilar),8,1 (Dissimilar),2,1 (Dissimilar),1 (Dissimilar),7,1 (Dissimilar),6,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),9,3,10 (similar),7,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar)
2020-03-04 22:27:04,2020-03-04 22:32:56,IP Address,*******,100,351,True,2020-03-04 22:32:56,R_d42wqdtsoBF6WIx,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,5,2,1 (Dissimilar),1 (Dissimilar),7,3,1 (Dissimilar),1 (Dissimilar),3,1 (Dissimilar),8,3,6,8,2,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),4,1 (Dissimilar),8,5,4,1 (Dissimilar),1 (Dissimilar),2,4,8,10 (similar),9,3,1 (Dissimilar),4,1 (Dissimilar),1 (Dissimilar),3,7,1 (Dissimilar),2,4,5,3,2,1 (Dissimilar),1 (Dissimilar),3,7,5,4,1 (Dissimilar),5,3,3,6,2,4,1 (Dissimilar),2,9,4
2020-03-04 22:35:50,2020-03-04 22:44:53,IP Address,*******,100,542,True,2020-03-04 22:44:54,R_9uxfmeDqoZsqnw5,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,8,9,1 (Dissimilar),6,2,2,1 (Dissimilar),2,7,9,6,5,7,8,3,1 (Dissimilar),2,1 (Dissimilar),4,3,5,6,2,1 (Dissimilar),1 (Dissimilar),2,1 (Dissimilar),10 (similar),10 (similar),8,6,1 (Dissimilar),4,1 (Dissimilar),1 (Dissimilar),5,7,3,7,1 (Dissimilar),6,2,1 (Dissimilar),7,1 (Dissimilar),9,8,7,1 (Dissimilar),1 (Dissimilar),4,4,5,7,5,8,1 (Dissimilar),5,5,6
2020-03-04 22:58:44,2020-03-04 23:03:33,IP Address,*******,100,289,True,2020-03-04 23:03:35,R_27DJM9Vp2IITkLy,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,8,6,3,6,4,7,6,4,8,9,9,7,6,8,5,6,7,3,9,7,7,8,6,6,4,4,7,8,10 (similar),7,4,5,6,6,5,8,7,6,3,2,4,8,2,7,5,6,8,7,5,6,1 (Dissimilar),8,7,10 (similar),9,7,2,8,8,6
